Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
0731;06052;"Bautzner Straße                    ";"    ";"    ";"2   ";"    ";"Neustadt            ";"Dresden-Neustadt         ";133  Innere Neust.(Wigardstr);Nord;01099;159;"  ";"  "
0732;06052;"Bautzner Straße                    ";"    ";"    ";"4   ";"70  ";"Neustadt            ";"Dresden-Neustadt         ";134  Äußere Neust.(Hoyerswerd. Str);Nord;01099;159;"  ";"  "
0733;06052;"Bautzner Straße                    ";"5   ";"43  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";114  Äußere Neust.(Böhmische Str);Nord;01099;159;"  ";"  "
0734;06052;"Bautzner Straße                    ";"47  ";"89  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";116  Äußere Neust.(Schönfelder Str);Nord;01099;159;"  ";"  "
0735;06052;"Bautzner Straße                    ";"91  ";"149 ";"72  ";102a;"Neustadt            ";"Dresden-Neustadt         ";122  Radeberger Vs.(Forststr);Nord;01099;159;"  ";"  "
0736;06052;"Bautzner Straße                    ";"    ";"    ";"104 ";110b;"Neustadt            ";"Dresden-Neustadt         ";123  Radeberger Vs.(Angelikastr);Nord;01099;159;"  ";"  "
0737;06052;"Bautzner Straße                    ";"    ";"    ";"112 ";126f;"Neustadt            ";"Loschwitz                ";123  Radeberger Vs.(Angelikastr);Nord;01099;159;"  ";"  "
0738;06052;"Bautzner Straße                    ";"    ";"    ";"130 ";"134 ";"Loschwitz           ";"Loschwitz                ";411  Loschwitz(Schevenstr);Nord;01099;159;"  ";"  "
0739;06052;"Bautzner Straße                    ";"153 ";"171 ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";123  Radeberger Vs.(Angelikastr);Nord;01099;159;"  ";"  "
0740;06052;"Bautzner Straße                    ";"173 ";"191 ";"    ";"    ";"Neustadt            ";"Loschwitz                ";123  Radeberger Vs.(Angelikastr);Nord;01099;159;"  ";"  "
0741;12038;"Bayreuther Straße                  ";"1   ";"15  ";"2   ";"16  ";"Plauen              ";"Dresden-Altstadt 2       ";818  Südvs.-West(Bayreuther-West);"Süd ";01187;158;"  ";"  "
0742;12038;"Bayreuther Straße                  ";"21  ";"31  ";"18  ";"40  ";"Plauen              ";"Dresden-Altstadt 2       ";819  Südvs.-West(Bayreuther-Ost);"Süd ";01187;158;"  ";"  "
0743;12038;"Bayreuther Straße                  ";"35  ";"39  ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";817  Südvs.-West(Nürnberger Pl/TU);"Süd ";01187;158;"  ";"  "
0744;12027;"Bayrische Straße                   ";"    ";"    ";"2   ";"6   ";"Plauen              ";"Dresden-Altstadt 2       ";812  Südvs.-West(Schweizer Str);"Süd ";01069;158;"  ";"  "
0745;12027;"Bayrische Straße                   ";"    ";"    ";"8   ";"18  ";"Plauen              ";"Dresden-Altstadt 2       ";813  Südvs.-West(Bayrische Str);"Süd ";01069;158;"  ";"  "
0746;12027;"Bayrische Straße                   ";"U   ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";031  Seevs.-Ost(Prager Str);"Süd ";01069;158;"  ";"  "
0747;05057;"Beckerstraße                       ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Hellerau                 ";322  Rähnitz;Nord;01109;159;"  ";"  "
0748;10177;"Bedrich-Smetana-Straße             ";"    ";"    ";"    ";"    ";"Prohlis             ";"Niedersedlitz            ";732  Niedersedlitz(Dorfstr);"Süd ";01259;158;"  ";"  "
0749;13096;"Beerenhut                          ";"1   ";"17  ";"    ";"    ";"Cotta               ";"Roßthal                  ";946  Niedergorbitz/Roßthal;"Süd ";01169;159;"  ";"  "
0750;13096;"Beerenhut                          ";"    ";"    ";"4   ";"32  ";"Cotta               ";"Gorbitz                  ";946  Niedergorbitz/Roßthal;"Süd ";01169;159;"  ";"  "
0751;10015;"Beethovenstraße                    ";"    ";"    ";"    ";"    ";"Altstadt            ";"Strehlen                 ";034  Strehlen(Tiergartenstr);"Süd ";01219;158;"  ";"  "
0752;06504;"Beethovenstraße (LB)               ";"    ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";362  Langebrück-Süd;Nord;01465;159;"  ";"  "
0753;14035;"Behringstraße                      ";"7   ";"21  ";"    ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";052  Friedrichst.(Schäferstr);"Süd ";01067;158;"  ";"  "
0754;14035;"Behringstraße                      ";"    ";"    ";"14  ";"18  ";"Altstadt            ";"Dresden-Friedrichstadt   ";053  Friedrichst.(Klinikum);"Süd ";01067;158;"  ";"  "
0755;14035;"Behringstraße                      ";"    ";"    ";"22  ";"24  ";"Altstadt            ";"Dresden-Friedrichstadt   ";054  Friedrichst.(Güterbahnhof);"Süd ";01159;158;"  ";"  "
0756;14035;"Behringstraße                      ";"45  ";"57  ";"26  ";"48  ";"Altstadt            ";"Dresden-Friedrichstadt   ";051  Friedrichst.(Löbtauer Str);"Süd ";01159;158;"  ";"  "
0757;08124;"Behrischstraße                     ";"1   ";"31  ";"    ";"    ";"Blasewitz           ";"Striesen                 ";526  Striesen-Ost(Voglerstr);"Süd ";01277;158;"  ";"  "
0758;08124;"Behrischstraße                     ";"    ";"    ";"2   ";"20  ";"Blasewitz           ";"Striesen                 ";524  Striesen-Ost(Dornblüthstr);"Süd ";01277;158;"  ";"  "
0759;08124;"Behrischstraße                     ";"33  ";"37  ";"22  ";"32  ";"Blasewitz           ";"Striesen                 ";525  Striesen-Ost(Ermelstr);"Süd ";01277;158;"  ";"  "
0760;10064;"Beilstraße                         ";"1   ";"5a  ";"2   ";"10  ";"Blasewitz           ";"Strehlen                 ";579  Strehlen-Nordost(Basteistr);"Süd ";01277;158;"  ";"  "
0761;10064;"Beilstraße                         ";"7   ";"33  ";"14  ";"48  ";"Blasewitz           ";"Gruna                    ";577  Gruna(Beilstr);"Süd ";01277;158;"  ";"  "
0762;05096;"Beim Gräbchen                      ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Hellerau                 ";324  Hellerau(Markt);Nord;01109;159;"  ";"  "
0763;09101;"Bellingrathstraße                  ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Tolkewitz                ";551  Tolkewitz(Wehlener Str);"Süd ";01279;158;"  ";"  "
0764;03081;"Benzstraße                         ";"    ";"    ";"    ";"    ";"Pieschen            ";"Trachau                  ";247  Trachau(Richard-Rösch-Str);Nord;01129;159;"  ";"  "
0765;05038;"Berbisdorfer Straße                ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";146  Leipziger Vs.(Oberer Hecht);Nord;01127;159;"  ";"  "
0766;09111;"Berchtesgadener Straße             ";"13  ";"27  ";"28  ";"    ";"Leuben              ";"Tolkewitz                ";622  Laubegast(Burgenlandstr);"Süd ";01279;158;"  ";"  "
0767;09111;"Berchtesgadener Straße             ";"29  ";"35  ";"    ";"    ";"Leuben              ";"Laubegast                ";622  Laubegast(Burgenlandstr);"Süd ";01279;158;"  ";"  "
0768;09111;"Berchtesgadener Straße             ";"41  ";"65  ";"    ";"    ";"Leuben              ";"Laubegast                ";623  Laubegast(Hallstädter Str);"Süd ";01279;158;"  ";"  "
0769;07339;"Bergahornweg                       ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Gönnsdorf                ";461  Gönnsdorf;Nord;01328;159;"  ";"  "
0770;06105;"Bergbahnstraße                     ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";422  Loschwitz-Nordost(Rißweg);Nord;01324;159;"  ";"  "
0771;06505;"Bergerstraße                       ";"    ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";362  Langebrück-Süd;Nord;01465;159;"  ";"  "
0772;10068;"Bergfelderweg                      ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";563  Seidnitz(Dobritzer Str);"Süd ";01237;158;"  ";"  "
0773;08105;"Berggartenstraße                   ";"1   ";"1b  ";"2   ";"6   ";"Blasewitz           ";"Blasewitz                ";512  Blasewitz(Schillerpl);"Süd ";01309;158;"  ";"  "
0774;08105;"Berggartenstraße                   ";"5   ";"9   ";"8   ";"16  ";"Blasewitz           ";"Blasewitz                ";514  Blasewitz(Kretschmerstr);"Süd ";01309;158;"  ";"  "
0775;08105;"Berggartenstraße                   ";"11  ";"15  ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";514  Blasewitz(Kretschmerstr);"Süd ";01277;158;"  ";"  "
0776;08105;"Berggartenstraße                   ";"17  ";"25  ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";515  Blasewitz(Oehmestr);"Süd ";01277;158;"  ";"  "
0777;08105;"Berggartenstraße                   ";"    ";"    ";"18  ";"22a ";"Blasewitz           ";"Blasewitz                ";514  Blasewitz(Kretschmerstr);"Süd ";01277;158;"  ";"  "
0778;08105;"Berggartenstraße                   ";"    ";"    ";"24  ";"52  ";"Blasewitz           ";"Blasewitz                ";515  Blasewitz(Oehmestr);"Süd ";01277;158;"  ";"  "
0779;04055;"Berggasse                          ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Wilschdorf               ";321  Wilschdorf;Nord;01109;159;"  ";"  "
0780;09089;"Berggießhübler Straße              ";"1   ";"21  ";"4   ";"12  ";"Blasewitz           ";"Seidnitz                 ";558  Seidnitz-Nord(Schlottwtzr.Str);"Süd ";01277;158;"  ";"  "
0781;09089;"Berggießhübler Straße              ";"    ";"    ";"16  ";"18  ";"Blasewitz           ";"Seidnitz                 ";551  Tolkewitz(Wehlener Str);"Süd ";01277;158;"  ";"  "
0782;06432;"Berggut                            ";"    ";"    ";"    ";"    ";"Weixdorf            ";"Lausa                    ";354  Alt-Lausa/Friedersdorf;Nord;01108;159;"  ";"  "
0783;08109;"Bergmannstraße                     ";"1   ";"39  ";"2   ";"6   ";"Blasewitz           ";"Striesen                 ";522  Striesen-Ost(Jacobistr);"Süd ";01309;158;"  ";"  "
0784;08109;"Bergmannstraße                     ";"    ";"    ";"10  ";"22  ";"Blasewitz           ";"Striesen                 ";545  Striesen-West(Alemannenstr);"Süd ";01309;158;"  ";"  "
0785;08109;"Bergmannstraße                     ";"    ";"    ";"32  ";"50  ";"Blasewitz           ";"Striesen                 ";546  Striesen-West(Altstriesen);"Süd ";01309;158;"  ";"  "
0786;08109;"Bergmannstraße                     ";"41  ";"51a ";"    ";"    ";"Blasewitz           ";"Striesen                 ";538  Striesen-Süd(Glashütter Str);"Süd ";01309;158;"  ";"  "
0787;08109;"Bergmannstraße                     ";"    ";"    ";"52  ";"80  ";"Blasewitz           ";"Striesen                 ";536  Striesen-Süd(Haenel-Clauß-Pl);"Süd ";01309;158;"  ";"  "
0788;08109;"Bergmannstraße                     ";"53  ";"65  ";"    ";"    ";"Blasewitz           ";"Striesen                 ";537  Striesen-Süd(Hepkeplatz);"Süd ";01309;158;"  ";"  "
0789;06403;"Bergsiedlung                       ";"    ";"    ";"    ";"    ";"Weixdorf            ";"Lausa                    ";354  Alt-Lausa/Friedersdorf;Nord;01108;159;"  ";"  "
0790;11003;"Bergstraße                         ";"1   ";"15  ";"2   ";"20  ";"Plauen              ";"Dresden-Altstadt 2       ";813  Südvs.-West(Bayrische Str);"Süd ";01069;158;"  ";"  "
0791;11003;"Bergstraße                         ";"15a ";"31  ";"22  ";"40  ";"Plauen              ";"Dresden-Altstadt 2       ";816  Südvs.-West(Schnorrstr-West);"Süd ";01069;158;"  ";"  "
0792;11003;"Bergstraße                         ";"    ";"    ";"42a ";"66c ";"Plauen              ";"Dresden-Altstadt 2       ";817  Südvs.-West(Nürnberger Pl/TU);"Süd ";01069;158;"  ";"  "
0793;11003;"Bergstraße                         ";"51  ";"81  ";"68  ";"120 ";"Plauen              ";"Räcknitz                 ";831  Räcknitz(Alträcknitz);"Süd ";01069;158;"  ";"  "
0794;11003;"Bergstraße                         ";"121 ";"    ";"    ";"    ";"Plauen              ";"Zschertnitz              ";833  Zschertnitz(Auguste-Lazar-Str);"Süd ";01217;158;"  ";"  "
0795;11003;"Bergstraße                         ";"U   ";"    ";"    ";"    ";"Plauen              ";"Dresden-Altstadt 2       ";823  Südvs.-Ost(Lukasplatz);"Süd ";01069;158;"  ";"  "
0796;14320;"Bergstraße (CB)                    ";"    ";"    ";"    ";"    ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
0797;07309;"Bergstraße (SW)                    ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Weißig                   ";455  Weißig (Bergstr.);Nord;01328;159;"  ";"  "
0798;07138;"Bergweg                            ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Pillnitz                 ";433  Pillnitz;Nord;01326;159;"  ";"  "
0799;06506;"Bergweg (LB)                       ";"    ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";361  Langebrück-Nord;Nord;01465;159;"  ";"  "
0800;14015;"Berliner Straße                    ";"1   ";"19  ";"2   ";"26  ";"Altstadt            ";"Dresden-Friedrichstadt   ";052  Friedrichst.(Schäferstr);"Süd ";01067;158;"  ";"  "
0801;14015;"Berliner Straße                    ";"21  ";"31  ";"28  ";"84  ";"Altstadt            ";"Dresden-Friedrichstadt   ";053  Friedrichst.(Klinikum);"Süd ";01067;158;"  ";"  "
0802;14015;"Berliner Straße                    ";"33  ";"65  ";"    ";"    ";"Altstadt            ";"Dresden-Friedrichstadt   ";054  Friedrichst.(Güterbahnhof);"Süd ";01067;158;"  ";"  "
0803;09224;"Bernard-Shaw-Straße                ";"    ";"    ";"    ";"    ";"Leuben              ";"Meußlitz                 ";633  Meußlitz;"Süd ";01259;158;"  ";"  "
0804;11313;"Bernd-Aldenhoff-Straße             ";"    ";"    ";"    ";"    ";"Prohlis             ";"Lockwitz                 ";743  Nickern;"Süd ";01257;158;"  ";"  "
0805;11060;"Bernerstraße                       ";"    ";"    ";"    ";"    ";"Plauen              ";"Kleinpestitz             ";845  Altmockritz/Altpestitz;"Süd ";01217;158;"  ";"  "
0806;10290;"Bernhard-Kretzschmar-Straße        ";"    ";"    ";"    ";"    ";"Prohlis             ";"Strehlen                 ";768  Strehlen(Wilhelm-Rudolph-Str);"Süd ";01219;158;"  ";"  "
0807;12023;"Bernhardstraße                     ";"7   ";"23  ";"2a  ";"18  ";"Plauen              ";"Dresden-Altstadt 2       ";813  Südvs.-West(Bayrische Str);"Süd ";01069;158;"  ";"  "
0808;12023;"Bernhardstraße                     ";"25  ";"29  ";"20  ";"30  ";"Plauen              ";"Dresden-Altstadt 2       ";815  Südvs.-West(Eisenstuckst-Mitt);"Süd ";01069;158;"  ";"  "
0809;12023;"Bernhardstraße                     ";"33  ";"41  ";"34  ";"44a ";"Plauen              ";"Dresden-Altstadt 2       ";819  Südvs.-West(Bayreuther-Ost);"Süd ";01187;158;"  ";"  "
0810;12023;"Bernhardstraße                     ";"63  ";"89  ";"60  ";"86a ";"Plauen              ";"Plauen                   ";862  Plauen(Würzburger Str-Ost);"Süd ";01187;158;"  ";"  "
0811;12023;"Bernhardstraße                     ";"93  ";"103 ";"88  ";"100 ";"Plauen              ";"Plauen                   ";864  Plauen(Nöthnitzer Str);"Süd ";01187;158;"  ";"  "
0812;12023;"Bernhardstraße                     ";"105 ";"115 ";"102 ";"118 ";"Plauen              ";"Plauen                   ";867  Plauen(Friedrich-Hegel-Str);"Süd ";01187;158;"  ";"  "
0813;12023;"Bernhardstraße                     ";"117 ";"141 ";"120 ";"156 ";"Plauen              ";"Plauen                   ";868  Plauen(Hohenplauen);"Süd ";01187;158;"  ";"  "
0814;00259;"Bernhard-von-Lindenau-Platz        ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";041  Wilsdruffer Vs.(Ostra-Allee);"Süd ";01067;158;"  ";"  "
0815;13051;"Bernhard-Wensch-Straße             ";"    ";"    ";"    ";"    ";"Cotta               ";"Dölzschen                ";945  Dölzschen;"Süd ";01187;159;"  ";"  "
0816;06572;"Bertha-Dißmann-Straße              ";"    ";"    ";"    ";"    ";"Langebrück          ";"Langebrück               ";362  Langebrück-Süd;Nord;01465;159;"  ";"  "
0817;09283;"Berthelsdorfer Weg                 ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Seidnitz                 ";555  Seidnitz-Nord(Johnsbacher Weg);"Süd ";01279;158;"  ";"  "
0818;09006;"Bertheltstraße                     ";"    ";"    ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 2       ";072  Johannst.-Süd(Wintergartenstr);"Süd ";01307;158;"  ";"  "
0819;09159;"Berthold-Haupt-Straße              ";"3   ";"29  ";"2   ";"14a ";"Leuben              ";"Leuben                   ";612  Leuben(Stephensonstr);"Süd ";01257;158;"  ";"  "
0820;09159;"Berthold-Haupt-Straße              ";"37  ";"69  ";"20  ";"72  ";"Leuben              ";"Leuben                   ";613  Leuben(Kleinzschachwitzer Str);"Süd ";01257;158;"  ";"  "
0821;09159;"Berthold-Haupt-Straße              ";"    ";"    ";"76  ";128c;"Leuben              ";"Kleinzschachwitz         ";632  Kleinzschachwitz-Süd;"Süd ";01259;158;"  ";"  "
0822;09159;"Berthold-Haupt-Straße              ";"83  ";"143 ";"    ";"    ";"Leuben              ";"Kleinzschachwitz         ";631  Kleinzschachwitz-Nord;"Süd ";01259;158;"  ";"  "
0823;09159;"Berthold-Haupt-Straße              ";"    ";"    ";128k;"130 ";"Leuben              ";"Zschieren                ";634  Zschieren;"Süd ";01259;158;"  ";"  "
0824;09033;"Bertolt-Brecht-Allee               ";"1   ";"27  ";"    ";"    ";"Blasewitz           ";"Striesen                 ";533  Striesen-Süd(Mansfelder Str);"Süd ";01309;158;"  ";"  "
0825;09033;"Bertolt-Brecht-Allee               ";"    ";"    ";"2   ";"6   ";"Blasewitz           ";"Striesen                 ";571  Gruna(Karl-Roth-Str);"Süd ";01309;158;"  ";"  "
0826;09033;"Bertolt-Brecht-Allee               ";"    ";"    ";"8   ";"24  ";"Blasewitz           ";"Striesen                 ";536  Striesen-Süd(Haenel-Clauß-Pl);"Süd ";01309;158;"  ";"  "
0827;09033;"Bertolt-Brecht-Allee               ";"31  ";"39  ";"    ";"    ";"Blasewitz           ";"Striesen                 ";532  Striesen-Süd(Mosenstr);"Süd ";01309;158;"  ";"  "
0828;09021;"Bertolt-Brecht-Platz               ";"1   ";"3   ";"2   ";"    ";"Blasewitz           ";"Striesen                 ";571  Gruna(Karl-Roth-Str);"Süd ";01309;158;"  ";"  "
0829;09021;"Bertolt-Brecht-Platz               ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Dresden-Altstadt 2       ";535  Johannst.-SO(Comeniusstr);"Süd ";01309;158;"  ";"  "
0830;09021;"Bertolt-Brecht-Platz               ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Striesen                 ";533  Striesen-Süd(Mansfelder Str);"Süd ";01309;158;"  ";"  "
0831;10266;"Berzdorfer Straße                  ";"1   ";"39  ";"    ";"    ";"Prohlis             ";"Prohlis                  ";714  Prohlis-Nord(Albert-Wolf-Pl);"Süd ";01239;158;"  ";"  "
0832;10266;"Berzdorfer Straße                  ";"    ";"    ";"2   ";"14  ";"Prohlis             ";"Prohlis                  ";715  Prohlis-Nord(Jacob-Winter-Pl);"Süd ";01239;158;"  ";"  "
0833;10266;"Berzdorfer Straße                  ";"    ";"    ";"20  ";"28  ";"Prohlis             ";"Prohlis                  ";714  Prohlis-Nord(Albert-Wolf-Pl);"Süd ";01239;158;"  ";"  "
0834;07214;"Beskidenstraße                     ";"    ";"    ";"    ";"    ";"Loschwitz           ";"Rochwitz                 ";428  Rochwitz;Nord;01326;159;"  ";"  "
0835;10118;"Besselplatz                        ";"    ";"    ";"    ";"    ";"Prohlis             ";"Reick                    ";772  Reick(Am Lehmhaus);"Süd ";01237;158;"  ";"  "
0836;06037;"Bettinastraße                      ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";123  Radeberger Vs.(Angelikastr);Nord;01099;159;"  ";"  "
0837;11056;"Bibrachstraße                      ";"    ";"    ";"    ";"    ";"Plauen              ";"Zschertnitz              ";834  Zschertnitz(Bulgakowstr);"Süd ";01217;158;"  ";"  "
0838;12040;"Biedermannstraße                   ";"    ";"    ";"    ";"    ";"Cotta               ";"Plauen                   ";932  Löbtau-Süd(Frankenbergstr);"Süd ";01187;159;"  ";"  "
0839;09323;"Bielatalweg                        ";"    ";"    ";"    ";"    ";"Blasewitz           ";"Gruna                    ";576  Gruna(Papstdorfer Str);"Süd ";01277;158;"  ";"  "
0840;12044;"Bienertstraße                      ";"1   ";"    ";"2   ";"6   ";"Cotta               ";"Plauen                   ";933  Löbtau-Süd(Altfrankener Str);"Süd ";01187;159;"  ";"  "
0841;12044;"Bienertstraße                      ";"11  ";"35  ";"    ";"    ";"Plauen              ";"Plauen                   ";861  Plauen(Würzburger Str-West);"Süd ";01187;158;"  ";"  "
0842;12044;"Bienertstraße                      ";"    ";"    ";"12  ";"34  ";"Plauen              ";"Plauen                   ";865  Plauen(Müllerbrunnenstr);"Süd ";01187;158;"  ";"  "
0843;12044;"Bienertstraße                      ";"    ";"    ";"36  ";"50  ";"Plauen              ";"Plauen                   ";864  Plauen(Nöthnitzer Str);"Süd ";01187;158;"  ";"  "
0844;12044;"Bienertstraße                      ";"37  ";"55  ";"    ";"    ";"Plauen              ";"Plauen                   ";862  Plauen(Würzburger Str-Ost);"Süd ";01187;158;"  ";"  "
0845;10186;"Bierweg                            ";"    ";"    ";"    ";"    ";"Leuben              ";"Großzschachwitz          ";645  Großzschachwitz(Schweizstr);"Süd ";01259;158;"  ";"  "
0846;13039;"Binger Straße                      ";"    ";"    ";"    ";"    ";"Cotta               ";"Naußlitz                 ";944  Naußlitz-Süd;"Süd ";01159;159;"  ";"  "
0847;10346;"Binsenweg                          ";"    ";"    ";"    ";"    ";"Prohlis             ";"Großluga                 ";741  Luga;"Süd ";01259;158;"  ";"  "
0848;05201;"Binzer Weg                         ";"1   ";"17  ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";318  Klotzsche(Binzer Weg);Nord;01109;159;"  ";"  "
0849;05201;"Binzer Weg                         ";"U   ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";316  Klotzsche(Königswald-Nord);Nord;01109;159;"  ";"  "
0850;05201;"Binzer Weg                         ";"U   ";"    ";"    ";"    ";"Klotzsche           ";"Klotzsche                ";317  Klotzsche(Selliner Str);Nord;01109;159;"  ";"  "
0851;14060;"Birkenhainer Straße                ";"    ";"    ";"2   ";"16  ";"Cotta               ";"Cotta                    ";912  Cotta(Grillparzerplatz);"Süd ";01157;159;"  ";"  "
0852;14060;"Birkenhainer Straße                ";"3   ";"13  ";"    ";"    ";"Cotta               ";"Cotta                    ";915  Cotta(Sachsdorfer Str);"Süd ";01157;159;"  ";"  "
0853;14229;"Birkenstraße                       ";"    ";"    ";"    ";"    ";"Cotta               ";"Gorbitz                  ";971  Gorbitz-Nord(Omsew. Ring-SO);"Süd ";01169;159;"  ";"  "
0854;07445;"Birkenstraße (SW)                  ";"    ";"    ";"    ";"    ";"Schönfeld-Weißig    ";"Pappritz                 ";463  Pappritz-Ost;Nord;01328;159;"  ";"  "
0855;05067;"Birkenweg                          ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Hellerau                 ";322  Rähnitz;Nord;01109;159;"  ";"  "
0856;12126;"Birkigter Hang                     ";"    ";"    ";"    ";"    ";"Plauen              ";"Gittersee                ";853  Gittersee;"Süd ";01189;158;"  ";"  "
0857;12111;"Birkigter Straße                   ";"    ";"    ";"    ";"    ";"Plauen              ";"Coschütz                 ";852  Coschütz-West;"Süd ";01189;158;"  ";"  "
0858;10251;"Birkwitzer Weg                     ";"    ";"    ";"    ";"    ";"Leuben              ";"Leuben                   ";617  Leuben(Birkwitzer Weg);"Süd ";01257;158;"  ";"  "
0859;14321;"Bischof-Benno-Weg                  ";"    ";"    ";"    ";"    ";"Cossebaude          ";"Cossebaude               ";902  Cossebaude-Süd;"Süd ";01156;159;"  ";"  "
0860;05011;"Bischofsplatz                      ";"1   ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";144  Leipziger Vs.(Unterer Hecht);Nord;01097;159;"  ";"  "
0861;05011;"Bischofsplatz                      ";"1b  ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";143  Leipziger Vs.(Helgolandstr);Nord;01097;159;"  ";"  "
0862;05011;"Bischofsplatz                      ";"    ";"    ";"2   ";"8   ";"Neustadt            ";"Dresden-Neustadt         ";144  Leipziger Vs.(Unterer Hecht);Nord;01097;159;"  ";"  "
0863;05011;"Bischofsplatz                      ";"    ";"    ";"12  ";"16  ";"Neustadt            ";"Dresden-Neustadt         ";143  Leipziger Vs.(Helgolandstr);Nord;01097;159;"  ";"  "
0864;05011;"Bischofsplatz                      ";"U   ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";142  Leipziger Vs.(Rudolfstr);Nord;01097;159;"  ";"  "
0865;06029;"Bischofsweg                        ";"1   ";"17  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";118  Äußere Neust.(Tannenstr);Nord;01097;159;"  ";"  "
0866;06029;"Bischofsweg                        ";"    ";"    ";"2   ";"6   ";"Neustadt            ";"Dresden-Neustadt         ";111  Äußere Neust.(Schönbrunnstr);Nord;01097;159;"  ";"  "
0867;06029;"Bischofsweg                        ";"    ";"    ";"8   ";"18  ";"Neustadt            ";"Dresden-Neustadt         ";112  Äußere Neust.(Timäusstr);Nord;01097;159;"  ";"  "
0868;06029;"Bischofsweg                        ";"17a ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";118  Äußere Neust.(Tannenstr);Nord;01099;159;"  ";"  "
0869;06029;"Bischofsweg                        ";"19  ";"29  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";117  Äußere Neust.(Frühlingstr);Nord;01099;159;"  ";"  "
0870;06029;"Bischofsweg                        ";"    ";"    ";"20  ";"38  ";"Neustadt            ";"Dresden-Neustadt         ";112  Äußere Neust.(Timäusstr);Nord;01099;159;"  ";"  "
0871;06029;"Bischofsweg                        ";"31  ";"41  ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";122  Radeberger Vs.(Forststr);Nord;01099;159;"  ";"  "
0872;06029;"Bischofsweg                        ";"    ";"    ";"40  ";"96  ";"Neustadt            ";"Dresden-Neustadt         ";117  Äußere Neust.(Frühlingstr);Nord;01099;159;"  ";"  "
0873;06029;"Bischofsweg                        ";"    ";"    ";"98  ";"114 ";"Neustadt            ";"Dresden-Neustadt         ";122  Radeberger Vs.(Forststr);Nord;01099;159;"  ";"  "
0874;06007;"Bischofswerder Straße              ";"    ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";121  Radeberger Vs.(Jägerstr);Nord;01099;159;"  ";"  "
0875;14322;"Bismarckplatz                      ";"    ";"    ";"    ";"    ";"Cossebaude          ";"Cossebaude               ";901  Cossebaude-Nord;"Süd ";01156;159;"  ";"  "
0876;10142;"Bismarckstraße                     ";"    ";"    ";"    ";"    ";"Prohlis             ";"Niedersedlitz            ";734  Niedersedlitz(Sosaer Str);"Süd ";01257;158;"  ";"  "
0877;05195;"Blankensteiner Straße              ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Hellerau                 ";322  Rähnitz;Nord;01109;159;"  ";"  "
